ID	Word 	Lemma	Pos	Extra	Features	Headposition	Relation		EverythingElse
211	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2036.76#2037.075
212	нынешнее	нынешний	ADJ	_	Case=Acc|Degree=Pos|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2037.075#2037.39
213	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2037.39#2037.705
214	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2037.705#2038.02
215	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2038.02#2038.335
216	две	два	NUM	_	Animacy=Inan|Case=Acc|Gender=Fem	_	_	_	@kvs1980m-words#@kvs1980m#2038.335#2038.65
217	разные	разный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2038.65#2038.965
218	эпохи	эпоха	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2038.965#2039.28
219	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2039.28#2039.595
220	это	это	PRON	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2039.595#2039.91
221	эпохи	эпоха	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2039.91#2040.24
222	да	да	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2041.212#2042.012
223	да	да	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2046.625#2046.927
224	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2046.927#2047.229
225	да	да	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2047.229#2047.531
226	да	да	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2047.531#2047.833
227	да	да	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2047.833#2048.135
228	да	да	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2048.135#2048.437
229	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2048.437#2048.739
230	у	у	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2048.739#2049.041
231	нашего	наш	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2049.041#2049.343
232	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2049.343#2049.645
233	даже	даже	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2049.645#2049.947
234	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2049.947#2050.249
235	кинематографического	кинематографический	ADJ	_	Animacy=Anim|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2050.249#2050.551
236	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2050.551#2050.853
237	крокодила	крокодил	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2050.853#2051.155
238	выросли	вырасти	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2051.155#2051.457
239	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2051.457#2051.759
240	зубы	зуб	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2051.759#2052.061
241	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2052.061#2052.363
242	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2052.363#2052.665
243	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2052.665#2052.967
244	стал	стать	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2052.967#2053.269
245	большим	большой	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2053.269#2053.571
246	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2053.571#2053.873
247	прожорливым	прожорливый	ADJ	_	Case=Ins|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2053.873#2054.175
248	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2054.175#2054.477
249	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2054.477#2054.779
250	жрет	жрать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2054.779#2055.081
251	больше	больше	ADV	_	Degree=Cmp	_	_	_	@kvs1980m-words#@kvs1980m#2055.081#2055.383
252	чем	что	SCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2055.383#2055.685
253	раньше	раньше	ADV	_	Degree=Cmp	_	_	_	@kvs1980m-words#@kvs1980m#2055.685#2055.987
254	но	но	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2055.987#2056.289
255	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2056.289#2056.591
256	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2056.591#2056.893
257	об	о	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2056.893#2057.195
258	этом	это	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2057.195#2057.497
259	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2057.497#2057.799
260	а	а	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2057.799#2058.101
261	о	о	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2058.101#2058.403
262	том	то	PRON	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2058.403#2058.705
263	что	что	SCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2058.705#2059.007
264	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2059.007#2059.309
265	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2059.309#2059.611
266	пообщался	пообщаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2059.611#2059.913
267	с	с	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2059.913#2060.215
268	этими	этот	DET	_	Case=Ins|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2060.215#2060.517
269	замечательными	замечательный	ADJ	_	Case=Ins|Degree=Pos|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2060.517#2060.819
270	ребятами	ребята	NOUN	_	Animacy=Anim|Case=Ins|Gender=Neut|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2060.819#2061.121
271	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2061.121#2061.423
272	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2061.423#2061.725
273	пытался	пытаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2061.725#2062.027
274	им	они	PRON	_	Case=Dat|Number=Plur|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2062.027#2062.329
275	объяснить	объяснить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2062.329#2062.631
276	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2062.631#2062.933
277	наивно	наивно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2062.933#2063.235
278	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2063.235#2063.537
279	по-старчески	по-старчески	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2063.537#2063.839
280	пытался	пытаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2063.839#2064.141
281	им	они	PRON	_	Case=Dat|Number=Plur|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2064.141#2064.443
282	объяснить	объяснить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2064.443#2064.745
283	что	что	SCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2064.745#2065.047
284	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2065.047#2065.349
285	из	из	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2065.349#2065.651
286	этого	этот	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2065.651#2065.953
287	воздушного	воздушный	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2065.953#2066.255
288	замка	замок	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2066.255#2066.557
289	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2066.557#2066.859
290	котором	который	PRON	_	Case=Loc	_	_	_	@kvs1980m-words#@kvs1980m#2066.859#2067.161
291	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2067.161#2067.463
292	пребывают	пребывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2067.463#2067.765
293	где	где	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2067.765#2068.067
294	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2068.067#2068.369
295	миллионы	миллион	NUM	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2068.369#2068.671
296	подписчиков	подписчик	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2068.671#2068.973
297	где	где	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2068.973#2069.275
298	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2069.275#2069.577
299	большие	большой	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2069.577#2069.879
300	заказы	заказ	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2069.879#2070.181
301	большие	большой	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2070.181#2070.483
302	зарплаты	зарплата	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2070.483#2070.785
303	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2070.785#2071.087
304	человек	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2071.087#2071.389
305	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2071.389#2071.691
306	там	там	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2071.691#2071.993
307	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2071.993#2072.295
308	махнув	махнуть	VERB	_	Aspect=Perf|Tense=Past|VerbForm=Conv|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2072.295#2072.597
309	пальцев	палец	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2072.597#2072.899
310	наня…	наня...	Х	_		_	_	_	@kvs1980m-words#@kvs1980m#2072.899#2073.201
311	на...	на...	Х	_		_	_	_	@kvs1980m-words#@kvs1980m#2073.201#2073.503
312	нанять	нанять	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2073.503#2073.805
313	себе	себя	PRON	_	Case=Dat	_	_	_	@kvs1980m-words#@kvs1980m#2073.805#2074.107
314	семьдесят	семьдесят	NUM	_	Case=Nom	_	_	_	@kvs1980m-words#@kvs1980m#2074.107#2074.409
315	человек	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2074.409#2074.711
316	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2074.711#2075.013
317	обслугу	обслуга	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2075.013#2075.315
318	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2075.315#2075.617
319	которые	который	PRON	_	Case=Acc	_	_	_	@kvs1980m-words#@kvs1980m#2075.617#2075.919
320	будут	быть	AUX	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2075.919#2076.221
321	таскать	таскать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2076.221#2076.523
322	за	за	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2076.523#2076.825
323	ним	он	PRON	_	Case=Ins|Gender=Masc|Number=Sing|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2076.825#2077.127
324	свет	свет	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2077.127#2077.429
325	держать	держать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2077.429#2077.731
326	микрофон	микрофон	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2077.731#2078.033
327	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2078.033#2078.335
328	выкладывать	выкладывать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2078.335#2078.637
329	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2078.637#2078.939
330	де...	де...	Х	_		_	_	_	@kvs1980m-words#@kvs1980m#2078.939#2079.241
331	богатство	богатство	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2079.241#2079.543
332	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2079.543#2079.845
333	ютуб	ютуб	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2079.845#2080.25
334	[нрзб]	[нрзб]		_	_	_	_	_	@kvs1980m-words#@kvs1980m#2081.635#2082.362
335	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#2082.999#2083.323
336	боги	бог	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2083.323#2083.647
337	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@kvs1980m-words#@kvs1980m#2083.647#2083.971
338	фараоны	фараон	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2083.971#2084.295
339	ютьюба	ютьюб	PROPN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2084.295#2084.619
340	да	да	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2084.619#2084.943
341	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2084.943#2085.267
342	с	с	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2085.267#2085.591
343	этими	этот	DET	_	Case=Ins|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2085.591#2085.915
344	людьми	человек	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2085.915#2086.239
345	с	с	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2086.239#2086.563
346	фараонами	фараон	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2086.563#2086.887
347	с	с	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2086.887#2087.211
348	этими	этот	DET	_	Case=Ins|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2087.211#2087.535
349	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2087.535#2087.859
350	разговаривал	разговаривать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2087.859#2088.183
351	и	и	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2088.183#2088.507
352	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kvs1980m-words#@kvs1980m#2088.507#2088.831
353	пытался	пытаться	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2088.831#2089.155
354	им	они	PRON	_	Case=Dat|Number=Plur|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2089.155#2089.479
355	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2089.479#2089.803
356	что	что	PRON	_	Case=Acc	_	_	_	@kvs1980m-words#@kvs1980m#2089.803#2090.127
357	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2090.127#2090.451
358	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2090.451#2090.775
359	всё	весь	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2090.775#2091.099
360	царство	царство	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2091.099#2091.423
361	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2091.423#2091.747
362	вечно	вечно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2091.747#2092.071
363	оно	оно	PRON	_	Case=Nom|Gender=Neut|Number=Sing|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2092.071#2092.395
364	не	не	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2092.395#2092.719
365	может	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2092.719#2093.043
366	стоять	стоять	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2093.043#2093.367
367	на	на	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2093.367#2093.691
368	курьих	курий	ADJ	_	Case=Loc|Degree=Pos|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2093.691#2094.015
369	ножках	ножка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2094.015#2094.339
370	всегда	всегда	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2094.339#2094.663
371	оно	оно	PRON	_	Case=Nom|Gender=Neut|Number=Sing|Person=3	_	_	_	@kvs1980m-words#@kvs1980m#2094.663#2094.987
372	рано	рано	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2094.987#2095.311
373	или	или	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2095.311#2095.635
374	поздно	поздно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2095.635#2095.959
375	рухнет	рушиться	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Fut|VerbForm=Fin|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2095.959#2096.283
376	под	под	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2096.283#2096.607
377	давлением	давление	NOUN	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2096.607#2096.931
378	того	тот	DET	_	Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2096.931#2097.255
379	самого	самый	ADJ	_	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2097.255#2097.579
380	базиса	базис	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2097.579#2097.903
381	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2097.903#2098.227
382	потому	потому	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2098.227#2098.551
383	что	что	SCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2098.551#2098.875
384	нельзя	нельзя	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2098.875#2099.199
385	жить	жить	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2099.199#2099.523
386	всё	весь	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2099.523#2099.847
387	время	время	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2099.847#2100.171
388	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2100.171#2100.495
389	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2100.495#2100.819
390	кинотеатре	кинотеатр	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2100.819#2101.143
391	или	или	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2101.143#2101.467
392	в	в	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2101.467#2101.791
393	ютубе	ютуба	PROPN	_	Case=Loc	_	_	_	@kvs1980m-words#@kvs1980m#2101.791#2102.115
394	нельзя	нельзя	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2102.115#2102.439
395	кормиться	кормиться	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Mid	_	_	_	@kvs1980m-words#@kvs1980m#2102.439#2102.763
396	позавчерашними	позавчерашний	ADJ	_	Case=Ins|Degree=Pos|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2102.763#2103.087
397	победами	победа	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Plur	_	_	_	@kvs1980m-words#@kvs1980m#2103.087#2103.411
398	необходимо	необходимый	PRED	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2103.411#2103.735
399	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2103.735#2104.059
400	реально	реально	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2104.059#2104.383
401	ежедневно	ежедневно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2104.383#2104.707
402	подтверждать	подтверждать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2104.707#2105.031
403	свое	свой	DET	_	Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2105.031#2105.355
404	право	право	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2105.355#2105.679
405	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2105.679#2106.003
406	на	на	ADP	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2106.003#2106.327
407	то	то	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@kvs1980m-words#@kvs1980m#2106.327#2106.651
408	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	@kvs1980m-words#@kvs1980m#2106.651#2106.975
409	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2106.975#2107.299
410	так	так	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2107.299#2107.623
411	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2107.623#2107.947
412	роскошно	роскошный	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2107.947#2108.271
413	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2108.271#2108.595
414	и	и	CCONJ	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2108.595#2108.919
415	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2108.919#2109.243
416	беззаботно	беззаботно	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2109.243#2109.567
417	существовать	существовать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@kvs1980m-words#@kvs1980m#2109.567#2109.891
418	/	/	PUNCT	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2109.891#2110.215
419	вот	вот	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2110.215#2110.539
420	и	и	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2110.539#2110.863
421	поэтому	поэтому	ADV	_	Degree=Pos	_	_	_	@kvs1980m-words#@kvs1980m#2110.863#2111.187
422	все-таки	все-таки	PART	_	_	_	_	_	@kvs1980m-words#@kvs1980m#2111.187#2111.511
