ID;Word ;Lemma;Pos;Extra;Features;Headposition;Relation;;EverythingElse
229;текст;текст;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@dp1979m-words#@dp1979m#299.999#300.3
230;и;и;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#300.3#300.601
231;решили;решить;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dp1979m-words#@dp1979m#300.601#300.902
232;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#300.902#301.203
233;а;а;CCONJ;_;_;_;_;_;@dp1979m-words#@dp1979m#301.203#301.504
234;/;/;PUNCT;_;_;_;_;_;@dp1979m-words#@dp1979m#301.504#301.805
235;так;так;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#301.805#302.13
236;нормально;нормально;ADV;_;Degree=Pos;_;_;_;@dp1979m-words#@dp1979m#302.21#302.91
237;да;да;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#28.46#29.01
238;всё;все;PRON;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#30.71#30.92
239;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#30.92#31.13
240;что;что;PRON;_;Case=Acc;_;_;_;@dtp1985m-words#@dtp1985m#31.13#31.34
241;делаем;делать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#31.34#31.55
242;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@dtp1985m-words#@dtp1985m#31.55#31.76
243;те;тот;DET;_;Case=Acc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#31.85#32.132
244;задания;задание;NOUN;_;Animacy=Inan|Case=Acc|Gender=Neut|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#32.132#32.414
245;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#32.414#32.696
246;которые;который;PRON;_;Case=Nom;_;_;_;@dtp1985m-words#@dtp1985m#32.696#32.978
247;нам;мы;PRON;_;Case=Dat|Number=Plur|Person=1;_;_;_;@dtp1985m-words#@dtp1985m#32.978#33.26
248;дает;давать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#33.26#33.542
249;Паша;Паша;PROPN;_;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#33.542#33.824
250;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#33.824#34.106
251;конечно;конечно;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#34.106#34.388
252;же;же;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#34.388#34.67
253;их;они;PRON;_;Case=Acc|Number=Plur|Person=3;_;_;_;@dtp1985m-words#@dtp1985m#34.67#34.952
254;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#34.952#35.234
255;э;э;INTJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#35.234#35.516
256;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#35.516#35.798
257;придумывает;придумывать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#35.798#36.08
258;креативная;креативный;ADJ;_;Case=Nom|Degree=Pos|Gender=Fem|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#36.08#36.362
259;группа;группа;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#36.362#36.644
260;заранее;заранее;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#36.644#36.93
261;но;но;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#36.93#37.272
262;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@dtp1985m-words#@dtp1985m#37.272#37.614
263;об;о;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#37.614#37.956
264;этих;этот;DET;_;Case=Loc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#37.956#38.298
265;заданиях;задание;NOUN;_;Animacy=Inan|Case=Loc|Gender=Neut|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#38.298#38.64
266;узнаем;узнать;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#38.64#38.982
267;вот;вот;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#38.982#39.324
268;прямо;прямо;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#39.324#39.67
269;в;в;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#39.67#39.91
270;режиме;режим;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#39.91#40.15
271;реального;реальный;ADJ;_;Case=Gen|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#40.15#40.39
272;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#40.39#40.63
273;времени;время;NOUN;_;Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#40.63#40.87
274;на;на;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#40.87#41.11
275;сцене;сцена;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#41.11#41.35
276;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#41.35#41.59
277;от;от;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#41.59#41.83
278;Паши;Паша;PROPN;_;Case=Acc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#41.83#42.07
279;Воли;Воли;PROPN;_;Animacy=Anim|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#42.07#42.31
280;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#42.31#42.55
281;но;но;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#49.49#49.69
282;это;это;PRON;_;Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#49.69#49.89
283;же;же;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#49.89#50.09
284;не;не;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#50.09#50.29
285;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@dtp1985m-words#@dtp1985m#50.29#50.49
286;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;_;_;_;@dtp1985m-words#@dtp1985m#53.91#54.131
287;не;не;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#54.131#54.352
288;получал;получать;VERB;_;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#54.352#54.573
289;эти;этот;DET;_;Case=Acc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#54.573#54.794
290;вопросы;вопрос;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#54.794#55.015
291;?;?;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#55.015#55.24
292;и;и;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#55.82#56.006
293;я;я;PRON;_;Case=Nom|Number=Sing|Person=1;_;_;_;@dtp1985m-words#@dtp1985m#56.006#56.192
294;не;не;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#56.192#56.378
295;получал;получать;VERB;_;Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#56.378#56.564
296;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#56.564#56.75
297;возможно;возможно;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#57.95#58.247
298;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#58.247#58.544
299;эээ;эээ;INTJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#58.544#58.841
300;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#58.841#59.138
301;кто-то;кто-то;PRON;_;Case=Nom;_;_;_;@dtp1985m-words#@dtp1985m#59.138#59.435
302;их;они;PRON;_;Case=Acc|Number=Plur|Person=3;_;_;_;@dtp1985m-words#@dtp1985m#59.435#59.732
303;захотел;хотеть;VERB;_;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#59.732#60.029
304;увидеть;видеть;VERB;_;Aspect=Perf|VerbForm=Inf|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#60.029#60.326
305;заранее;заранее;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#60.326#60.623
306;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#60.623#60.92
307;наверное;наверное;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#60.92#61.217
308;речь;речь;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#61.217#61.514
309;идет;идти;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#61.514#61.811
310;о;о;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#61.811#62.108
311;каких-то;какой-то;DET;_;Case=Loc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#62.108#62.405
312;наших;наш;DET;_;Case=Loc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#62.405#62.702
313;креативних;креативний;ADJ;_;Case=Loc|Degree=Pos|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#62.702#62.999
314;продюссерах;продюссер;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#62.999#63.296
315;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#63.296#63.593
316;администраторах;администратор;NOUN;_;Animacy=Inan|Case=Loc|Gender=Masc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#63.593#63.89
317;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#63.89#64.2
318;чтобы;чтобы;SCONJ;_;Mood=Cnd;_;_;_;@dtp1985m-words#@dtp1985m#64.2#64.471
319;например;например;ADV;_;;_;_;_;@dtp1985m-words#@dtp1985m#64.471#64.742
320;вы;вы;PRON;_;Case=Nom|Number=Plur|Person=2;_;_;_;@dtp1985m-words#@dtp1985m#64.742#65.013
321;не;не;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#65.013#65.284
322;спросили;спросить;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#65.284#65.555
323;то;то;SCONJ;_;;_;_;_;@dtp1985m-words#@dtp1985m#65.555#65.826
324;чего;что;PRON;_;Case=Gen;_;_;_;@dtp1985m-words#@dtp1985m#65.826#66.097
325;нельзя;нельзя;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#66.097#66.368
326;спрашивать;спрашивать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#66.368#66.64
327;может;мочь;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#66.64#66.843
328;быть;быть;AUX;_;Aspect=Imp|VerbForm=Inf|Voice=Ac;_;_;_;@dtp1985m-words#@dtp1985m#66.843#67.046
329;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#67.046#67.249
330;может;мочь;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#67.249#67.452
331;быть;быть;AUX;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#67.452#67.655
332;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#67.655#67.86
333;у;у;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#68.54#68.764
334;меня;я;PRON;_;Case=Gen|Number=Sing|Person=1;_;_;_;@dtp1985m-words#@dtp1985m#68.764#68.988
335;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#68.988#69.212
336;ничего;ничто;PRON;_;Case=Gen;_;_;_;@dtp1985m-words#@dtp1985m#69.212#69.436
337;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#69.436#69.66
338;но;но;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#69.66#69.884
339;вдруг;вдруг;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#69.884#70.108
340;бы;бы;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#70.108#70.332
341;пришел;прийти;VERB;_;Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#70.332#70.556
342;Арсений;Арсений;PROPN;_;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#70.556#70.78
343;да;да;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#73.6#73.856
344;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#73.856#74.112
345;и;и;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#74.112#74.368
346;тогда;тогда;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#74.368#74.624
347;там;там;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#74.624#74.88
348;бы;бы;AUX;_;_;_;_;_;@dtp1985m-words#@dtp1985m#74.88#75.136
349;сразу;сразу;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#75.136#75.392
350;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#75.392#75.648
351;вопросов;вопрос;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#75.648#75.904
352;пятьдесят;пятьдесят;NUM;_;Case=Nom;_;_;_;@dtp1985m-words#@dtp1985m#75.904#76.16
353;выпадало;выпадать;VERB;_;Aspect=Perf|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#76.16#76.416
354;из;из;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#76.416#76.672
355;этого;этот;DET;_;Case=Gen|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#76.672#76.928
356;списка;список;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#76.928#77.184
357;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#77.184#77.44
358;и;и;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#77.44#77.696
359;поэтому;поэтому;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#77.696#77.952
360;наверное;наверное;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#77.952#78.208
361;решили;решить;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#78.208#78.464
362;согласовать;согласовать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#78.464#78.72
363;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#78.72#78.976
364;но;но;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#78.976#79.232
365;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@dtp1985m-words#@dtp1985m#79.232#79.488
366;ничего;ничто;PRON;_;Case=Gen;_;_;_;@dtp1985m-words#@dtp1985m#79.488#79.744
367;не;не;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#79.744#80.0
368;видели;видеть;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#80.0#80.26
369;что;что;SCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#80.52#80.872
370;ты;ты;PRON;_;Case=Nom|Number=Sing|Person=2;_;_;_;@dtp1985m-words#@dtp1985m#80.872#81.224
371;вот;вот;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#81.224#81.576
372;будешь;быть;AUX;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#81.576#81.928
373;спрашивать;спрашивать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#81.928#82.28
374;эм;эм;PART;_;;_;_;_;@dtp1985m-words#@dtp1985m#87.71#87.99
375;мы;мы;PRON;_;Case=Nom|Number=Plur|Person=1;_;_;_;@dtp1985m-words#@dtp1985m#89.33#89.67
376;нет;нет;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#89.67#90.01
377;но;но;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#91.95#92.78
378;Арсений;Арсений;PROPN;_;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#92.78#93.61
379;он;он;PRON;_;Case=Nom|Gender=Masc|Number=Sing|Person=3;_;_;_;@dtp1985m-words#@dtp1985m#96.91#97.275
380;же;же;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#97.275#97.64
381;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#97.64#98.005
382;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#98.005#98.37
383;Арсений;Арсений;PROPN;_;Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#98.37#98.735
384;же;же;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#98.735#99.1
385;из;из;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#99.1#99.465
386;Санкт-Петербурга;Санкт-Петербург;PROPN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#99.465#99.83
387;поэтому;поэтому;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#99.83#100.195
388;там;там;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#100.195#100.56
389;тайна;тайна;NOUN;_;Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#100.56#100.925
390;на;на;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#100.925#101.29
391;тайне;тайна;NOUN;_;Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#101.29#101.655
392;и;и;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#101.655#102.02
393;тайной;тайна;NOUN;_;Animacy=Inan|Case=Ins|Gender=Fem|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#102.02#102.385
394;погоняй;погонять;VERB;_;Aspect=Imp|Mood=Imp|Number=Sing|Person=2|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#102.385#102.75
395;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#102.75#103.115
396;он;он;PRON;_;Case=Nom|Gender=Masc|Number=Sing|Person=3;_;_;_;@dtp1985m-words#@dtp1985m#103.115#103.48
397;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#103.48#103.845
398;он;он;PRON;_;Case=Nom|Gender=Masc|Number=Sing|Person=3;_;_;_;@dtp1985m-words#@dtp1985m#103.845#104.21
399;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#104.21#104.575
400;пытается;пытаться;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@dtp1985m-words#@dtp1985m#104.575#104.94
401;быть;быть;AUX;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#104.94#105.305
402;таким;такой;DET;_;Case=Ins|Gender=Neut|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#105.305#105.67
403;таинственным;таинственный;ADJ;_;Case=Ins|Degree=Pos|Gender=Neut|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#105.67#106.05
404;но;но;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#109.0#109.237
405;он;он;PRON;_;Case=Nom|Gender=Masc|Number=Sing|Person=3;_;_;_;@dtp1985m-words#@dtp1985m#109.237#109.474
406;думает;думать;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#109.474#109.711
407;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#109.711#109.948
408;что;что;SCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#109.948#110.185
409;получается;получаться;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid;_;_;_;@dtp1985m-words#@dtp1985m#110.185#110.422
410;очень;очень;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#154.97#155.39
411;мало;мало;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#155.39#155.81
412;ну;ну;INTJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#157.63#158.42
413;нет;нет;PART;_;;_;_;_;@dtp1985m-words#@dtp1985m#159.89#160.154
414;за;за;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#160.154#160.418
415;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#160.418#160.682
416;нет;нет;PART;_;;_;_;_;@dtp1985m-words#@dtp1985m#160.682#160.946
417;за;за;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#160.946#161.21
418;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#161.21#161.474
419;съемочный;съемочный;ADJ;_;Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#161.474#161.738
420;день;день;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#161.738#162.002
421;конечно;конечно;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#162.002#162.266
422;какие-то;какой-то;DET;_;Case=Nom|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#162.266#162.53
423;игры;игра;NOUN;_;Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#162.53#162.794
424;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#162.794#163.058
425;они;они;PRON;_;Case=Nom|Number=Plur|Person=3;_;_;_;@dtp1985m-words#@dtp1985m#163.058#163.322
426;бывают;бывать;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#163.322#163.586
427;даже;даже;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#163.586#163.85
428;может;мочь;VERB;_;Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#163.85#164.114
429;быть;быть;AUX;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#164.114#164.378
430;и;и;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#164.378#164.642
431;получились;получиться;VERB;_;Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Mid;_;_;_;@dtp1985m-words#@dtp1985m#164.642#164.906
432;ну;ну;INTJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#164.906#165.17
433;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#165.17#165.434
434;например;например;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#165.434#165.698
435;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#165.698#165.962
436;чуть;чуть;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#165.962#166.226
437;хуже;плохой;ADV;_;Degree=Cmp;_;_;_;@dtp1985m-words#@dtp1985m#166.226#166.49
438;чем;чем;SCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#166.49#166.754
439;другие;другой;ADJ;_;Case=Nom|Degree=Pos|Number=Plur;_;_;_;@dtp1985m-words#@dtp1985m#166.754#167.03
440;поэтому;поэтому;ADV;_;Degree=Pos;_;_;_;@dtp1985m-words#@dtp1985m#167.03#167.297
441;они;они;PRON;_;Case=Nom|Number=Plur|Person=3;_;_;_;@dtp1985m-words#@dtp1985m#167.297#167.564
442;не;не;PART;_;_;_;_;_;@dtp1985m-words#@dtp1985m#167.564#167.831
443;входят;входить;VERB;_;Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#167.831#168.098
444;в;в;ADP;_;_;_;_;_;@dtp1985m-words#@dtp1985m#168.098#168.365
445;эфир;эфир;NOUN;_;Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing;_;_;_;@dtp1985m-words#@dtp1985m#168.365#168.632
446;/;/;PUNCT;_;_;_;_;_;@dtp1985m-words#@dtp1985m#168.632#168.899
447;но;но;CCONJ;_;_;_;_;_;@dtp1985m-words#@dtp1985m#168.899#169.166
448;отрицать;отрицать;VERB;_;Aspect=Imp|VerbForm=Inf|Voice=Act;_;_;_;@dtp1985m-words#@dtp1985m#169.166#169.433
449;что;что;PRON;_;Case=Acc;_;_;_;@dtp1985m-words#@dtp1985m#169.433#169.7
